Name,Description
IFRS 15 / ASC 606 Info Day – Part 1: Why is IFRS 15 a challenge,The new standard „Revenue from Contracts with customers“ will be mandatory for all IFRS and US-GAAP filers from January 2018 on.  Within this this info day we will talk about: Challenges for Organization Goals: Challenges for AccountingChallenges for Project ManagementChallenges for Organization  
IFRS 15 / ASC 606 Info Day – Part 2: The SAP Solution,The new standard „Revenue from Contracts with customers“ will be mandatory for all IFRS and US-GAAP filers from January 2018 on.  Within this this info day we will talk about: Challenges for Organization Goals: Challenges for AccountingChallenges for Project ManagementChallenges for Organization  
IFRS 15 / ASC 606 Info Day – Part 3: Implementation,The new standard „Revenue from Contracts with customers“ will be mandatory for all IFRS and US-GAAP filers from January 2018 on.  Within this this info day we will talk about: Challenges for Organization Goals: Challenges for AccountingChallenges for Project ManagementChallenges for Organization  
IFRS 15: SAP Revenue Accounting and Reporting - Migration and Transition Overview,Overview of transition to the new accounting standard IFRS 15 Solution capabilities of SAP Revenue Accounting and Reporting for migration and transition Business scenario example to transition to IFRS 15 using SAP Revenue Accounting and Reporting Goals: * Understand the SAP Revenue Accounting and Reporting migration and transition
IFRS 15: SAP Revenue Accounting and Reporting 1.2 - Integration with Cost Object Controlling,"Cost object controlling is integrated with SAP Revenue Accounting and Reporting  1.2. New account assignments are available in SAP Revenue Accounting and Reporting 1.2. Integrated cost objects are either a WBS element, a sales order item with make-to-order, or an internal order. Goals: Understand the integration between SAP Revenue Accounting and Reporting 1.2 and Cost Object Controlling"
IT Service Level Compared with SAP Enterprise Support Opportunities,"What is your company's IT service performance, compared with the SAP customer benchmark? SAP Enterprise Support Opportunity Report visualizes your strengths, weaknesses, and opportunities. Goals: Learn about the benefits of the SAP Enterprise Support Opportunity Report"
IT Service Level compared with SAP Customer Benchmark,"What is your company’s IT service performance, compared with SAP customer benchmark? SAP Enterprise Support Opportunity Report visualizes your strength, weakness, opportunities, etc. Goals:  Learn about the benefits of SAP Enterprise Support Opportunity Report."
IT Service Management - Create an Incident via Solution Manager Launchpad,Introduction of SAP Solution Manager launchpad Apps for IT service management How to create an incident via launchpad Release: SAP Solution Manager 7.2
IT Service Management - Create an Incident via Web Self Service Portal,Introduction of the web self service portal and the important widgets Creation and processing of incident & service request Release: SAP Solution Manager 7.2
IT Service Management - Dispatch an Incident,IT service management Dispatcher web UI How to dispatch an incident Release: SAP Solution Manager 7.2
IT Service Management - Management of Non-SAP Configuration Items,Introduction of types of configuration items and integration landscape CI Management capabilities Maintenance of the non-SAP configuration items Release: SAP Solution Manager 7.2
IT Service Management - Use Advanced Service Level Mgmt. with Underpinning Contracts,Capabilities of Processing Times feature Purposes of the usage of the SLM data Scenario of using Advanced SLM with underpinning contracts Release: SAP Solution Manager 7.2
IT Service Management on SAP Solution Manager 7.2,このセッションでは、ITサービス管理機能の概要についてご説明致します。 Goals:以下のようなお客様にご参加いただきたいMtEです。ITサービス管理機能の概要を知りたい方ITサービス管理機能の導入を検討されている方
Identify SAP BusinessObjects System Usage via Auditing,"Use the familiar SAP BusinessObjects BI Universe and tools to extract insightful information from the auditing database. Identify most-used reports, inclusive of amount of data retrieved, size, and users.  Use SAP BusinessObjects Lumira to connect to audit universe or Microsoft Excel sources to explore audit data.   BI Briefcase  "
Identity Propagation with SAP Cloud Platform mobile services,"Mobile projects typically involve data processing, UX, offline behavior, notifications & others. Putting authentication topics to the project end results in insecure apps Goals: Understand proven concepts for user identity propagation for apps on SAP HANA Cloud Platform mobile services"
Impact of DDL Operations on Descriptor Bound Tables for SAP ASE,"High volatile ASE environments require hot tables to remain in cache indefinitely. The hot tables are categorized as DES bound tables and the procedure to bind them to cache is by using dbcc tune (des_bind, dbid, objid, objname). For DES bound tables, certain DDL operations are permissible and the matrix in Resolution section provides the required information. This QuickIQ tutorial is aimed to help customers with their SAP ASE implementations.  System Release: all SAP ASE versions 12.5 through 15.7 on all OS platforms"
Implement the Data Volume Management Work Center,"<p>Do you have monitoring in your landscape for your main systems for your database growth and volume in general?</p>

<p>Are you taking advantage of the available functionality in solution manager to get information on your data &ndash; application areas, tables?</p>

<p>With the DVM workcenter in the SAP Solution Manager, you can get a lot of information on your systems growth and volumes and also best practice documentation on how to manage this data.</p>

<ul>
	<li>Learn about some of the features and functionality in the SAP Solution Manager 7.2.</li>
	<li>The main learning for this program is through a 5 day x 2 hours a day Expert Guided Implementation session.</li>
</ul>

<p><u>Goals:</u></p>

<ul>
	<li>
	<p>Get introduced to the features of the DVM work center</p>
	</li>
	<li>
	<p>Implement and operate the Data Volume Management Work Center</p>
	</li>
</ul>

<p><u>Target Audience<u>:</u></u></p>

<p>Customers who are planning to migrate to SAP S/4HANA including:</p>

<ul>
	<li>
	<p>Application Manager</p>
	</li>
	<li>
	<p>Basis System Administrator</p>
	</li>
	<li>
	<p>Application Consultants/ Analysts</p>
	</li>
</ul>

<p><u>Prerequisites<u>:</u></u></p>

<ul>
	<li>
	<p>Solution manager 7.2 SP5</p>
	</li>
</ul>"
Implementation Portal for SAP S/4HANA Cloud,"<p>This session will explain how to use the new implementation portal of SAP Cloud ALM for an SAP S/4HANA Cloud implementation. This session will include a demonstration of the tool and how it drives all necessary implementation activities (e.g. project team onboarding, fit-to-standard workshops, project documentation&hellip; etc.).</p>

<p><strong>Goals:</strong></p>

<ul>
	<li>Learn what the implementation portal for SAP S/4HANA Cloud is all about</li>
	<li>Understand its capabilities</li>
	<li>Learn how to use the implementation portal in the context of an SAP S/4HANA Cloud implementation</li>
</ul>"
Implementation/Upgrade: Rolling Update Approach for the SAP Hybris Commerce Suite,SAP Product(s): SAP Hybris Commerce Suite Product Version(s): 5.3.0 and higher Operating System(s): All Database(s): All SAP Solution Manager Work Center(s): Generic  This best-practice document shows how to perform a rolling update in the SAP Hybris cluster environment update in order to avoid creating the overlong table name. It explains the root cause of the symptom and provides some concrete steps to perform a rolling update. Goals: * Ensure a successful rolling update in a SAP Hybris cluster.
Implementation/Upgrade: SAP Production System Strategy for Large Enterprises,"SAP Product(s): Independent Product Version(s): Independent Operating System(s): All Database(s): All ALM Phase(s): Plan SAP Solution Manager 7.1 SP: All SAP Solution Manager Work Center(s): Implementation / Upgrade Get knowledge about best practices for SAP production system landscapes for large enterprises. Understand the decision path for an SAP production system strategy.  Role(s) : Application Architect, Basis Administrator, Chief Information Officer, IT Architect, IT Manager Lifecycle(s) : Innovate (Plan), Implement (Build), Operate (Run)"
Implementation/Upgrade: Technical Deployment Options for SAP Systems with SAP HANA,"<p>SAP Product(s): Independent&nbsp; Product Version(s): Independent&nbsp; Work Center(s): Implementation/Upgrade&nbsp; Operating System(s): All&nbsp; Database(s): SAP HANA&nbsp; Project Phase(s): Plan&nbsp; SAP Solution Manager Work Center(s): Implementation/Upgrade&nbsp; Topic Area: Implementation/Upgrade Understand typical options for mapping SAP HANA databases to server hardware. Learn how SAP systems on SAP HANA as well as complete non-production and production solution landscapes can be deployed.&nbsp; See how deployment options can integrate HA/DR requirements.&nbsp; &nbsp; Role(s) : Basis Administrator, IT Architect, IT Manager&nbsp; Lifecycle(s) : Innovate (Plan), Implement (Build) &nbsp;</p>"
Implementation/Upgrade: Technical Deployment Options for SAP Systems with SAP HANA,SAP Product(s): Independent Product Version(s): Independent Work Center(s): Implementation/Upgrade Operating System(s): All Database(s): SAP HANA Project Phase(s): Plan SAP Solution Manager Work Center(s): Implementation/Upgrade Topic Area: Implementation/Upgrade  Goals:Understand typical options for mapping SAP HANA databases to server hardwareLearn how SAP systems on SAP HANA and complete non-production and production solution landscapes can be deployedSee how deployment options can integrate HA/DR requirements
Implementation of Focused Build Solution for SAP Solution Manager,"<p>SAP Solution Manager 7.2 Focused Solutions are turnkey solutions for SAP Solution Manager.</p>

<p>After completing this program you will understand how to implement the Focused Build Addon to your SAP Solution Manager 7.2.</p>

<p>&nbsp;</p>

<p><u>Goals:</u></p>

<ul>
	<li>
	<p>Explain the concept of Focused Solutions for SAP Solution Manager 7.2</p>
	</li>
	<li>
	<p>Guide you through the process how to implement the Focus Build to your SAP Solution Manager 7.2</p>
	</li>
</ul>

<p><u>Target Audience:</u></p>

<ul>
	<li>SAP Basis Consultant</li>
	<li>SAP Operations Architect</li>
</ul>

<p><u>Prerequisites:</u></p>

<ul>
	<li>Basic knowledge of SAP Solution Manager</li>
</ul>"
Implementing SAP Fiori - Key Decisions and Activities for Successful SAP S/4HANA Projects,
Implementing SAP HANA Cloud Platform Identity Provisioning,"<p>Getting started with SAP HANA Cloud Platform Identity Provisioning</p>

<p><b>Goals:&nbsp;</b></p>

<ul type="""">
	<li>Learn how to activate and access the service configuration.</li>
	<li>Learn how to connect source and target systems and trigger the provisioning of identities.</li>
</ul>"
Implementing SAP Jam Collaboration with SAP Cloud Identity,"Since Q1 2016 SAP Cloud Identity serves as the identity provider and user management service for all SAP Jam Collaboration customers not using other SAP SuccessFactors solutions. We will introduce the integration and walk you through the steps to setup, configure, and maintain your SAP Jam users. Goals:Get introduced to the integration of SAP Jam Collaboration and SAP Cloud Identity.Learn more about the basic steps to setup and configure the integration.Understand how to maintain your SAP Jam Collaboration users within your corporate environment.  "
Implementing SAP Security Notes: Tools and Best Practices,"How to set up a monthly security patch process using SAP Solution Manager Application system recommendations to help you find, analyze, and implement security notes Goals: Identify required security notes for a large system landscape.Manage work lists with notes that should be implemented.Audit successful implementation of required security notes. Security"
Implementing SAP Security Notes: Unveil the Secrets of Notes,"How to optimize a monthly security patch process Application system recommendations to help you find, analyze, and implement security notes Goals:Classify notes according technology and implementation process.Analyze notes concerning estimated test effort and risk of business.Plan preparation and follow-up activities around security patching."
Import an on-premise Fiori application into SAP Fiori Cloud,"Only a subset of Fiori apps are available in SAP Fiori Cloud by default As an alternative transactional Fiori apps can be deployed into the cloud using SAP Web IDE.  Goals:   Understand how to import a transactional Fiori app into Fiori Cloud with SAP Web IDE.   SCP, SAP Cloud Connector, odata, ODP, provisioning, hybrid"
Import on-premise SAP Fiori apps to SAP Fiori Cloud,"<p>Guidance on how to deploy a Fiori app on SAP Cloud Platform which is not available in a Fiori Cloud version but only as an on-premise version. This is archived by importing the UI component into Web IDE and from there deploy it to the Sap Cloud Platform</p>

<p><strong>Goals:</strong></p>

<ul>
	<li>Learn about main concept of SAP Cloud Platform, Web IDE and Fiori Cloud</li>
	<li>Enablement on how to deploy a running on-premise Fiori to the SAP Cloud Platform</li>
</ul>

<p><strong>System Release:&nbsp;</strong>SAP Cloud Platform Neo account, SAP Web IDE, Fiori app installed on on-premise system.</p>

<p><strong>Keywords:&nbsp;</strong>SCP, HCP, SAP Cloud Platform, SAP Cloud Connector, SCC, CC, integration, on-premise, Cloud, on premise, data, gateway, Fiori, Fiori Cloud, FLP, Launchpad, Cloud Portal.</p>"
Improved Navigation and Decision Making with the Help of SAP Enterprise Support Value Maps,You will get an introduction to the SAP Enterprise Support value maps and learn how to leverage this new offering and how to best benefit.Furthermore you will understand how you can participate in a pilot rollout. Goals:  Help customer to select right offerings via Value Map
Improving the BI4 User Experience,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""397"">
	<tbody>
		<tr height=""160"">
			<td height=""160"" width=""397"">SAP Business Intelligence web applications are constantly evolving to encompass ever widening ranges of business processes and applications. The portal, called BI Launch Pad in BI 4.0, represents the initial point of access for most users and the experience is fundamental in creating their first impression of the product. It is therefore critical that this experience be both rich in functionality and quick to respond.</td>
		</tr>
	</tbody>
</table>"
InMemory Cart for SAP Hybris Commerce,"SAP Product(s): SAP Hybris Commerce Product Version(s): 5.X Operating System(s): All Database(s): All SAP Solution Manager Work Center(s): Implementation/Upgrade By using this document, you will: * Learn how to use and override the InMemory cart provided by default in order to create a dedicated customization. * Get details about the required steps to perform a possible configuration. * Get knowledge on how to test it. Published on: 2016 November"
Incident Handling with SAP: What You Need to Know,Incident handling with SAP Goals:  Learn about enterprise support tools that will help you manage SAP incidents. Please note that this recording has been optimized for PC and iOS viewing
Incident Management: Business Continuity Management for SAP System Landscapes,"SAP Product(s): Independent Product Version(s): Independent Operating System(s): All Database(s): All SAP Solution Manager Work Center(s): Incident Management Understand SAP’s view on establishing a business continuity concept for an SAP environment according to the ITIL (IT Infrastructure Library) approach for IT Service Continuity Management Role(s) : Basis Administrator Lifecycle(s) : Implement (Build), Operate (Run)"
Incident Management: Emergency Handling for Recovery of SAP System Landscapes,SAP Product(s): Independent Product Version(s): Independent Operating System(s): All Database(s): All SAP Solution Manager Work Center(s): Incident Management Understand the main phases and steps that are part of the recovery procedure. Understand how to support the handling of an acute emergency and provide input for business continuity planning. Role(s) : Basis Administrator Lifecycle(s) : Operate (Run)
Incident and Problem Management (ITSM),"<p>Covers the implementation of scenario IT Service Management (ITSM) with SAP Solution Manager 7.2 Shows the Incident and Problem processing &amp; explain the configuration of additional functionalities Shows additional topics like Web UI configuration, message reporting and automatic dispatching Explains prerequisites and setup of SAP collaboration Guides to setup Embedded Search (Free text search at Launchpad and Web UI) Goals: Implement scenario IT Service Management (ITSM) within SAP Solution Manager 7.2 &nbsp; EGI</p>"
Incident and Problem Management (ITSM) for VAR,"<p>SAP EGI Incident, Problem and Request Management ITSM for VAR Expert Guided Implementation is offered by SAP Active Global Support to support our customers and partners in the activation and usage specific SAP Solution Manager scenarios. This Expert Guided Implementation covers the implementation of scenario. ITSM for VAR within SAP Solution Manager release 7.1. The SAP expert guides the customer through basic configuration of Incident, Problem and Request Management (ITSM) for VAR. Within the new Web Client UI the SAP Expert will show the message processing and explain the configuration of additional functionalities e.g. partner determination, customer knowledge base and service level agreement. Additional topics like Web Client UI configuration, message reporting and Service Desk interface complete the Expert Guided Implementation.</p>

<p>Covers the implementation of scenario IT Service Management (ITSM) for VAR with SAP Solution Manager 7.2 &nbsp;Shows the Incident and Problem processing &amp; explain the configuration of additional functionalities &nbsp;Shows additional topics like Web UI configuration, message reporting and automatic dispatching &nbsp;Explains prerequisites and setup of SAP collaboration &nbsp;Guides to setup Embedded Search (Free text search at Launchpad and Web UI) &nbsp;</p>

<p>Goals: &nbsp; &nbsp;&nbsp; &nbsp;<br />
Implement scenario IT Service Management (ITSM) within SAP Solution Manager 7.2 &nbsp;&nbsp; &nbsp;<br />
Setup VAR related master data</p>"
Inconsistent Business Partner Handling in SAP SRM,"How to activate this new functionality and to execute the new report in webdynpro screen Introduce the new functionality of SRM713 to customer and make it popular to customers Clarify confusion with Z-reports in old release  Release: SAP Supplier Relationship Management 713 SP05  Inconsistent BP handling, srmtsg_adm_doc, srmtsg_adm_doc_usr, inconsistent user, corrupted user, SRM"
Indonesia Electronic Invoice of Tax: Updates in 2016,Overview of Indonesia electronic invoicing requirement by law and overview of new business process Introduction of new VAT-IN and VAT-OUT structure and VAT reporting Goals:Understand the new business process of issuing e-Tax Invoice.Understand how to implement the new solution.Understand what is in scope of the new solution and what is out of scope.
Industry Solutions -IS-EOD,"How to request an Accelerated Innovation Enablement Offering type: AIE Expert on Demand - EOD AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP’s. In case additional questions reMayn open, these questions can be addressed to SAP experts via AIE Expert-on-Demand requests In scope are: * Specific questions concerning the new functionalities on the latest EHP’s, SP, versions. Not in scope: * Analysis of current customer system landscape * Impact on customer systems caused by activating business functions * Questions on specific implementation projects or workshops (i.e. How to install functionality - step by step) If you have multiple questions belonging to several areas, please create separate requests, as they will be dispatched to different SAP experts. Please note that scheduling of sessions depends on the availability of the experts. AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP’s.  *This offer is exclusive for Enterprise Customers*"
Industry Trends: The External Workforce,"<p><strong>Customers</strong>&nbsp;can access these materials on the SAP Fieldglass Forum.</p>

<p><strong>Partners</strong>&nbsp;can access them on the Application Documentation Jam page.</p>

<p><strong>SAP internal&nbsp;employees</strong>&nbsp;can access a recording, along with the presentation deck and FAQ document, of each Did You Know webinar&nbsp;on SAP Fieldglass Learning Services Jam.</p>"
Information Retrieval Framework - Features Supporting GDPR in SAP S/4HANA Cloud,"<p>You will learn how to utilize the tool in Information Retrieval Framework how to start the data collection and how to process the data collection results.</p>

<p>System release: SAP S/4HANA Cloud 1805</p>

<p>Required roles: SAP_BR_DATA_PRIVACY_SPECIALIST</p>

<p>Tags: GDPR; S4HC</p>"
Initial Setup of SAP Customer Order Sourcing,"<p>Goals:<br />
* Show how to subscribe SAP Customer Order Sourcing to use the Strategy Builder app<br />
* Show how to onboard users to SAP Customer Order Sourcing to work with the Strategy Builder app<br />
* Show how to create a service instance and service key required to use the service APIs of SAP Customer Order Sourcing<br />
* Explain how to integrate SAP Customer Order Sourcing with SAP S/4HANA to replicate availability information from SAP S/4HANA to SAP Customer Order Sourcing</p>

<p>Tags: SAP Customer Order Sourcing, Strategy Builder, COS, Sourcing Strategy, Sourcing Strategies, Strategy Builder App, Sourcing, SAP COS,&nbsp;S4HCEX, S/4HCEX, SAP S/4HANA Cloud extended edition</p>"
Innovation Discovery for SAP Business Suite,Goals:Learn about the new free of charge self-service tool in the Service MarketplaceSee how easy it is to find innovations with the flexible search and drill-down optionsGet details about the usage based information of the customer’s systems
Innovation Discovery tool (formerly BFP),"<p>The innovation discovery service for SAP products provides guidance on how to turn the adoption of innovations into tangible value for your business. This free, self-service tool simplifies your search for new functionality SAP has delivered as well as innovations planned for the near future.&nbsp;Innovation Discovery replaced the former Business Functions Prediction tool.</p>

<p>It is a self-service online tool, link provided.</p>"
Insights into Key Reports from SAP SuccessFactors Recruiting,<p>Overview of Recruiting Management (RCM) and Recruitment Marketing (RMK) Reporting</p>
Insights to Integration Center- the value of integration tools within SuccessFactors,<p>Join us to hear more about how to utilize Integration Centre. This session will provide an overview of what Integration Centre can do for your organization across many modules. &nbsp;</p>
Install Enhancements in SAP BusinessObjects BI Platform 4.2,Install Enhancements in SAP BusinessObjects BI Platform 4.2  Goals:   Discover the latest updates in the product Enhancements so far including silent install
"Installation, Configuration & Upgrade - SMG_INS","<p>How to request an Accelerated Innovation Enablement Offering type: AIE Expert on Demand - EOD Scenario: SAP Solution Manager is the central, integrated end-to-end orchestration platform to accelerate innovation, manage the application lifecycle and run SAP centric solutions like a factory. The current release of SAP Solution Manager is 7.2. Scope: * SAP Solution Manager installation * SAP Solution Manager upgrade * Basic configuration of SAP Solution Manager *This offer is exclusive for Enterprise Customers*</p>"
Instance Sync - SAP SuccessFactors,"<p>Enabling Instance Sync.</p>

<p>Move configuration artifacts and sub-artifacts like MDF object definitions, picklists, business rules.</p>

<p>Detailed demo of how to use Instance Sync</p>"
Integrate Faster with Trading Partners Using the SAP Integration Content Advisor,<p>Introduction to the SAP Integration Content Advisor (ICA) within SAP Cloud Platform. How to accelerate interface implementation and reduce associated costs with SAP ICA&nbsp;</p>
Integrate SAP SuccessFactors Employee Central Employee Data using SAP Cloud Platform Integration,<p>This tutorial shows the SuccessFactors Employee Central to ECC&nbsp;Employee Data Replication via SAP Cloud Platform Integration. Employee Data is changed in SuccessFactors Cloud Solution and the changes are replicated to SAP&nbsp;ECC. This scenario shows how to configure the iFlow and how to Monitor the iFlow in SAP Cloud Platform Integration.</p>
Integrated End-User Feedback for SAP Products,"Overview of integrated end-user feedback functions for SAP products and how to use them End-user feedback function as part of SAP Fiori launchpad End-user feedback functions such as SAP NetWeaver Business Client side panel CHIP Goals:  Understand the value of end-user feedback for your business.Understand SAP's concept and processes for end-user feedback.Learn how to set up the available end-user feedback functionalities. User Experience, UX, UI, Feedback"
Integrating Compensation Management with Employee Central,<p>Making the integration between Employee Central (EC) and Compensation/Variable Pay provides an amazing gain in efficiency for the Admin.&nbsp;&nbsp;</p>
Integrating SAP Jam Communities into SAP hybris Commerce,"Installing SAP Jam Communities sample code in SAP hybris Commerce Creating topics in SAP Jam Communities by importing the product hierarchy from SAP hybris Commerce Adjusting the layout of SAP Jam Communities to fit your SAP hybris Commerce solution Goals:  Integrate your SAP Jam Communities instance into your SAP hybris Commerce solution.Get your community structure set up and aligned with your SAP hybris Commerce storefront.Deliver an aligned visual appearance of your SAP hybris and SAP Jam Communities solution. Jam Communities, hybris Commerce, community"
Integration ERP and Employee Central - Main Topics,In this session we will do a brief explanation about ERP and Employee Central integration. We will discuss the frequently asked questions related to this topic.  Goals:Integration overview Tips and tricks within ERP and Employee Central integration
Integration Landscape Topology,Specifics of a hybrid solution landscape (cloud to on premise integration) Goals:Explore the specifics of a hybrid solution on your IT integration landscapeLearn about the key elements of the integration set upLearn about troubleshooting tools
Integration Methodology for the Intelligent Enterprise,"<p>The session discusses SAP&#39;s integration strategy for the Intelligent Enterprise including the&nbsp;<br />
key building blocks for integration. Also the session presents a methodology that allows enterprise&nbsp;<br />
and integration architects to define their integration strategy for hybrid integration platforms.</p>"
Integration Monitoring & Exception Management for On-Prem and Cloud Landscapes,Fundamentals of integration monitoring  How customers can set up a ready-to-use basic scenario in their own SAP Solution Manager   Goals:Have a live monitoring pilot.
Integration Monitoring via Focused Run for SAP Solution Manager (FRUN),"<p>What is Focused Run?<br />
Advanced Integration Monitoring<br />
Big Picture<br />
Demo - Integration &amp; Cloud Monitoring UI<br />
Demo - Scenario Configuration</p>"
Integration Monitoring via SAP Cloud ALM for Operations (CRUN),"<p>The target of Integration Monitoring is to bring transparency in the data exchange processes. It shall unify the user experience of the different integration technologies by providing a common look-and-feel as well as handling independently whether we are dealing with peer-to-peer interfaces or orchestration platforms.</p>

<p>Integration Monitoring shall close the gap between IT and Business. The envisioned correlation of integration artefacts shall provide end-to-end visibility in interface calls and message flows cross all involved cloud services and systems. This means the user of Integration Monitoring understands the actual processing of interface calls and message flows including possible technical or business driven root causes. So it acts a central monitoring cockpit for all processes and components of Intelligent Suite.</p>

<p>Integration Monitoring is offered with the cloud-based operation platform SAP Cloud ALM for Operations (CRUN) and the on-prem based operation platform Focused Run for SAP Solution Manager (FRUN). Our clear target to pick-up our customers at the point, there they are. Following the solution gravity of the customer we provide for cloud centric customers also the operation platform in the cloud and for on-prem centric customers their operation platform also on-prem.<br />
In this Webinar, we will demo the Integration Monitoring via SAP Cloud ALM for Operations.</p>"
Integration Scenarios EC - RCM - ONB,"<p>This IDP document focuses on integration Scenarios between SuccessFactors modules Employee Central, Onboarding and Recruiting.</p>"
Integration Solution Advisor Methodology (ISAM),"Application integration covers a broad spectrum of integration styles that ranges from process-centric- over data-centric- to user-centric integration scenarios. . This session presents a methodology that allows enterprise and integration architects to define their integration strategy  Goals:  How to provide guidance across multiple teams, projects and system integrators?When to use what integration technology?How to approach new integration domains? Integration, Cloud, Enterprise Support"
Integration of ABAP CDS  with BO reporting tools,<p>ESAC / Workstream 4</p>
Integrations Overview,"<p><strong>Customers</strong>&nbsp;can access these materials on the SAP Fieldglass Forum.</p>

<p><strong>Partners</strong>&nbsp;can access them on the Application Documentation Jam page.</p>

<p><strong>SAP internal&nbsp;employees</strong>&nbsp;can access a recording, along with the presentation deck and FAQ document, of each Did You Know webinar&nbsp;on SAP Fieldglass Learning Services Jam.</p>"
Intelligent Business Process Management,"<ul>
	<li>Overview on Intelligent Business Process Management with SAP Cloud Platform</li>
	<li>Services:
	<ul>
		<li>SAP Cloud Platform Workflow</li>
		<li>SAP Cloud Platform Business Rules</li>
		<li>SAP Cloud Platform Process Visibility</li>
	</ul>
	</li>
</ul>

<p>Leveraged with Conversational UX, process intelligence, experience management, intelligent automation</p>"
Intelligent Enterprise - Design To Operate Overview,"<p><strong>Goals:</strong></p>

<ul>
	<li>Learn about the Intelligent Enterprise business process Design to Operate</li>
	<li>Discover the end-to-end process and learn more about its future direction and functionalities.</li>
</ul>

<p>Tags: Cross- and Trending Topics | SAP Intelligent Enterprise</p>

<ul>
</ul>"
Intelligent Enterprise - Lead-To-Cash Overview,"<p>Through this Intelligent Enterprise - Lead-to-Cash Overview webinar, learn how SAP improves the&nbsp;Customer Experience through&nbsp;the Intelligent Enterprise using SAP C/4HANA and SAP S/4HANA.</p>"
Intelligent Enterprise - Source-to-Pay Overview,<p>Through this Intelligent Enterprise - Source-to-Pay Overview webinar learn about the Source to Pay business process.</p>
Intelligent Enterprise - Total Workforce Management Overview,<p>Learn about the Intelligent Enterprise business process Total Workforce Management</p>
Intercompany TPOP and TPOP Intercompany Scenarios,What is third-party order processing (TPOP) and intercompany processing Scoping and master data settings Demo Goals: Understand the process of intercompany TPOP and TPOP intercompany.Know how these two processes work in the system.
Intercompany-TPOP & TPOP-Intercompany Scenarios in SAP Business ByDesign,"Master data configurations Demo on intercompany third-party order processing (TPOP) and TPOP intercompany delivery Goals:  Understand business flow for intercompany third-darty delivery ByD, ByDesign, Intercompany, TPOP, Scenario  Please note that this recording has been optimized for PC and iOS viewing"
Interest Rate Instrument: Classic,"Basic functionalities of product type 55A Interest calculation methods and repayment methods How variable interest rate works and the available BAPIs Goals:  Get a better understanding of basic features of product type 55A.Understand how the cash flow is generated. IRATE, 55A, Interest Calculation, cash flow"
Interpreting Traces Collected with ST12,"The Single Transaction Analysis tool (TA ST12) allows to collect both ABAP & performance traces with an integrated user interface. Different methods for tracing & the recording of traces of ABAP transactions, ABAP reports, Webdynpro pages, BSP pages & background jobs. The traces collected can be used to investigate code errors and performance problems Goals:Understand multiple visualization options for ABAP and performance tracesKnow how to activate extra information on ABAP tracesOverview on common troubleshooting scenarios"
Interpreting the Results of your SAP Readiness Check for SAP S/4HANA,"<p>SAP Readiness Check for SAP S/4HANA is an optional tool, which provides you with critical information during the discovery and preparation phase of your SAP S/4HANA conversion project.<br />
SAP Readiness Check for SAP S/4HANA is mainly intended for S/4HANA conversion projects, but gives also critical information for New Implementation scenarios.<br />
This tutorial is the successor of our MTE &ldquo;Introduction to SAP Readiness Check for SAP S/4HANA&rdquo; where you will learn how to execute SAP Readiness Check for SAP S/4HANA.&nbsp;<br />
This tutorial is aimed at customers that have their Readiness Check results at hand and want to receive guidance how to understand each tile of their check and derive next steps.<br />
This tutorial comprises a collection of interactive demos, one for each tile in SAP Readiness Check for SAP S/4HANA. In each demo you receive further information about each tile and help how to read the tile results and plan for next steps.&nbsp;</p>

<p>Goals:</p>

<ul>
	<li>See how to access and navigate through the results of your SAP Readiness Check for SAP S/4HANA</li>
	<li>Learn how to read and understand the results of your SAP Readiness Check for SAP S/4HANA</li>
	<li>Derive next steps for the planning phase of your SAP S/4HANA project</li>
	<li>Identify showstoppers for an SAP S/4HANA conversion</li>
	<li>Assess the effort that you can expect for your SAP S/4HANA conversion</li>
	<li>Get an insight into the existing Readiness Check tiles: Add-On Compatibility, Active Business Functions, SAP S/4HANA sizing, Custom Code Analysis, Simplification Items, BW Extractors, Business Process Analysis, Data Volume Management, Fiori App Recommendations, Custom Development Projects</li>
</ul>"
Introduction Session for Business Process Improvement Value Map,"<p>Business Process Improvement - обзор концепции. Как улучшить работу ключевых бизнес-процессов с помощью Business Process Improvement Value Map Цели: Понимание, что можно ожидать от участия в Карте решений Business Process Improvement</p>"
Introduction Session for Enterprise Support Value Map Custom Code Management,Understand the benefits of the Value Map offering Learn why it’s important to manage your homegrown Custom Code Learn about the Pilot ProgramGoals:  Overview about what you getWhat is expected from pilot customerHow you register for the Program
Introduction Session for the SAP Enterprise Support Value Map for Change Control Management,SAP Enterprise Support Value Map for Change Control Management Overview of Change Control Management opportunities Overview of SAP Enterprise Support Value Map Pilot Program Goals:Understand the benefits of the value map offeringLearn about Value Map Objectives and BenefitsLearn about the Pilot Program.
